1,68,97,898.883858,68
2,111,101.666666666667,942.241722666667,111
3,53,89.5,829.2015755,53
4,96,90.8,841.2798378,96
5,138,93.2,863.5781682,138
6,81,95.8,887.7346928,81
7,123,98.2,910.0330232,123
8,66,100.8,934.1895478,66
9,108,103.2,956.4878782,108
10,51,85.8,794.8249828,51
11,94,88.4,818.9815074,94
12,136,91,843.138032,136
13,79,93.6,867.2945566,79
14,121,96.2,891.4510812,121
15,64,98.8,915.6076058,64
16,106,101.2,937.9059362,106
17,149,103.8,962.0624608,149
18,91,106.2,984.3607912,91
19,134,108.8,1008.5173158,134
20,76,111.2,1030.8156462,76
21,119,113.8,1054.9721708,119
22,61,96.2,891.4510812,61
23,104,98.8,915.6076058,104
